iter	Passed	Remaining
0	1384	690860
1	1799	447976
2	2142	355016
3	2490	308837
4	2834	280627
5	3200	263524
6	3655	257442
7	3990	245402
8	4358	237787
9	4753	232914
10	5105	226955
11	5458	221963
12	5791	216943
13	5865	203625
14	6236	201646
15	6578	199010
16	6913	196429
17	7270	194674
18	7604	192524
19	7937	190498
20	8279	188851
21	8622	187352
22	8952	185656
23	9315	184750
24	9655	183453
25	10000	182309
26	10338	181121
27	10700	180388
28	11054	179532
29	11439	179225
30	11815	178751
31	12198	178405
32	12637	178843
33	13055	178931
34	13385	177832
35	13765	177417
36	14132	176847
37	14509	176407
38	14837	175384
39	15201	174813
40	15559	174190
41	15894	173322
42	16289	173122
43	16672	172784
44	17008	171977
45	17371	171445
46	17714	170737
47	18051	169983
48	18383	169203
49	18810	169298
50	19261	169579
51	19685	169595
52	20097	169501
53	20490	169235
54	20854	168731
55	21220	168248
56	21589	167788
57	21948	167263
58	22297	166665
59	22642	166044
60	22987	165431
61	23329	164811
62	23662	164133
63	24011	163578
64	24351	162965
65	24698	162411
66	25070	162022
67	25406	161404
68	25749	160841
69	26089	160264
70	26437	159743
71	26768	159125
72	27114	158601
73	27478	158189
74	28009	158722
75	28419	158551
76	28844	158457
77	29323	158649
78	29779	158699
79	30282	158984
80	30721	158915
81	31077	158417
82	31464	158080
83	31900	157983
84	32292	157664
85	32696	157400
86	33031	156805
87	33373	156250
88	33718	155710
89	34064	155183
90	34436	154773
91	34772	154207
92	35114	153672
93	35478	153237
94	35819	152704
95	36154	152149
96	36509	151685
97	36849	151158
98	37183	150612
99	37526	150105
100	37872	149616
101	38231	149179
102	38738	149312
103	39075	148788
104	39442	148380
105	39883	148244
106	40304	148034
107	40662	147589
108	41025	147164
109	41383	146724
110	41764	146363
111	42260	146402
112	42630	145998
113	43010	145632
114	43411	145333
115	43821	145063
116	44168	144584
117	44557	144246
118	44947	143908
119	45378	143698
120	45788	143421
121	46147	142980
122	46492	142501
123	46851	142066
124	47201	141604
125	47539	141109
126	47937	140791
127	48291	140345
128	48671	139978
129	49109	139772
130	49472	139354
131	49940	139226
132	50323	138862
133	50705	138495
134	51061	138054
135	51417	137616
136	51777	137190
137	52138	136768
138	52538	136449
139	52892	136008
140	53240	135554
141	53582	135087
142	53918	134607
143	54256	134133
144	54591	133654
145	54942	133215
146	55273	132731
147	55620	132286
148	55982	131877
149	56341	131462
150	56682	131007
151	57081	130685
152	57417	130221
153	57774	129804
154	58113	129348
155	58456	128904
156	58802	128465
157	59185	128109
158	59535	127682
159	59877	127239
160	60223	126804
161	60564	126363
162	60899	125908
163	61233	125454
164	61584	125034
165	61931	124609
166	62289	124205
167	62632	123773
168	62973	123339
169	63305	122886
170	63662	122484
171	64001	122049
172	64338	121610
173	64673	121169
174	65003	120721
175	65341	120287
176	65687	119870
177	66025	119440
178	66365	119013
179	66710	118596
180	67045	118163
181	67384	117737
182	67737	117338
183	68082	116925
184	68429	116515
185	68772	116099
186	69102	115663
187	69440	115241
188	69801	114858
189	70127	114418
190	70494	114045
191	70833	113628
192	71168	113206
193	71516	112804
194	71851	112383
195	72181	111955
196	72518	111537
197	72853	111120
198	73197	110715
199	73549	110324
200	73887	109912
201	74232	109511
202	74583	109119
203	74908	108690
204	75245	108280
205	75598	107893
206	75935	107484
207	76271	107074
208	76621	106683
209	76965	106285
210	77313	105893
211	77653	105491
212	77998	105096
213	78382	104754
214	78717	104346
215	79051	103937
216	79382	103526
217	79737	103146
218	80097	102773
219	80436	102373
220	80773	101971
221	81115	101577
222	81456	101181
223	81805	100796
224	82148	100404
225	82490	100010
226	82880	99675
227	83224	99284
228	83585	98916
229	83922	98517
230	84269	98132
231	84621	97752
232	84970	97369
233	85310	96976
234	85645	96579
235	85982	96183
236	86328	95799
237	86677	95418
238	87011	95020
239	87351	94630
240	87697	94247
241	88039	93860
242	88382	93474
243	88720	93083
244	89061	92696
245	89398	92305
246	89732	91912
247	90069	91521
248	90413	91139
249	90759	90759
250	91099	90373
251	91432	89981
252	91776	89599
253	92108	89207
254	92447	88822
255	92781	88432
256	93122	88049
257	93473	87676
258	93812	87293
259	94149	86907
260	94486	86521
261	94838	86150
262	95191	85780
263	95545	85411
264	95885	85030
265	96234	84657
266	96589	84289
267	96938	83916
268	97288	83545
269	97630	83166
270	97966	82783
271	98338	82430
272	98736	82099
273	99111	81749
274	99473	81387
275	99824	81017
276	100172	80644
277	100507	80261
278	100855	79888
279	101195	79510
280	101554	79147
281	101900	78774
282	102243	78398
283	102620	78049
284	102960	77672
285	103323	77312
286	103665	76936
287	104006	76560
288	104342	76180
289	104679	75802
290	105037	75439
291	105389	75072
292	105735	74700
293	106078	74327
294	106425	73956
295	106766	73582
296	107117	73214
297	107460	72842
298	107801	72468
299	108147	72098
300	108494	71729
301	108886	71388
302	109228	71016
303	109585	70653
304	109937	70288
305	110281	69916
306	110627	69547
307	110969	69175
308	111322	68811
309	111671	68443
310	112006	68068
311	112357	67702
312	112702	67333
313	113053	66967
314	113411	66606
315	113756	66238
316	114097	65866
317	114442	65498
318	114786	65129
319	115118	64754
320	115458	64383
321	115801	64014
322	116140	63643
323	116479	63272
324	116820	62903
325	117162	62534
326	117510	62169
327	117850	61799
328	118185	61427
329	118537	61064
330	118882	60698
331	119210	60323
332	119550	59954
333	119890	59586
334	120245	59225
335	120622	58875
336	120973	58512
337	121322	58148
338	121673	57785
339	122011	57416
340	122353	57050
341	122687	56680
342	123037	56317
343	123391	55956
344	123731	55589
345	124067	55221
346	124407	54854
347	124743	54485
348	125089	54121
349	125421	53752
350	125766	53387
351	126101	53019
352	126449	52657
353	126786	52290
354	127119	51922
355	127469	51560
356	127810	51195
357	128144	50828
358	128491	50465
359	128831	50101
360	129180	49739
361	129508	49370
362	129850	49006
