iter	Passed	Remaining
0	395	197574
1	776	193230
2	1153	191061
3	1514	187829
4	1877	185824
5	2228	183441
6	2581	181776
7	2992	184031
8	3361	183365
9	3728	182690
10	4104	182450
11	4483	182310
12	4826	180800
13	4928	171076
14	5249	169722
15	5633	170412
16	6002	170529
17	6380	170851
18	6743	170719
19	7122	170941
20	7530	171775
21	7970	173176
22	8411	174447
23	8825	175036
24	9146	173791
25	9539	173904
26	9918	173765
27	10308	173764
28	10678	173426
29	11062	173320
30	11465	173459
31	11839	173150
32	12166	172179
33	12904	176869
34	13362	177525
35	13779	177606
36	14156	177145
37	14546	176852
38	14882	175922
39	15215	174983
40	15547	174055
41	15874	173109
42	16211	172292
43	16547	171493
44	16864	170519
45	17186	169625
46	17498	168660
47	17816	167770
48	18148	167041
49	18461	166150
50	18781	165346
51	19103	164583
52	19419	163783
53	19738	163027
54	20044	162181
55	20348	161337
56	20669	160640
57	20998	160024
58	21334	159464
59	21633	158646
60	21949	157960
61	22273	157348
62	22575	156595
63	22934	156241
64	23241	155540
65	23549	154852
66	23874	154292
67	24187	153662
68	24491	152983
69	24793	152301
70	25115	151752
71	25427	151153
72	25777	150783
73	26125	150399
74	26429	149764
75	26736	149159
76	27063	148672
77	27372	148093
78	27674	147478
79	28014	147076
80	28340	146603
81	28646	146026
82	28945	145426
83	29269	144952
84	29572	144385
85	29898	143932
86	30212	143424
87	30528	142930
88	30836	142400
89	31152	141916
90	31463	141411
91	31776	140920
92	32083	140408
93	32386	139881
94	32681	139326
95	33003	138888
96	33295	138331
97	33613	137884
98	33926	137419
99	34228	136912
100	34525	136391
101	34853	135998
102	35163	135532
103	35488	135128
104	35799	134676
105	36121	134264
106	36439	133837
107	36756	133411
108	37068	132970
109	37376	132516
110	37682	132059
111	38012	131686
112	38326	131258
113	38638	130830
114	38952	130404
115	39251	129935
116	39569	129531
117	39884	129117
118	40196	128697
119	40512	128290
120	40818	127854
121	41188	127616
122	41503	127208
123	41877	126983
124	42239	126719
125	42545	126286
126	42878	125933
127	43221	125611
128	43543	125230
129	43850	124806
130	44183	124457
131	44507	124081
132	44837	123725
133	45174	123385
134	45527	123093
135	45852	122723
136	46328	122753
137	46709	122527
138	47063	122230
139	47453	122023
140	47808	121726
141	48169	121441
142	48480	121031
143	48821	120698
144	49174	120392
145	49542	120122
146	49881	119784
147	50246	119504
148	50561	119108
149	51010	119024
150	51344	118669
151	51727	118428
152	52076	118108
153	52404	117739
154	52740	117389
155	53097	117086
156	53428	116725
157	53739	116323
158	54553	116998
159	55059	117000
160	55522	116908
161	56010	116860
162	56389	116584
163	56757	116284
164	57106	115943
165	57982	116663
166	58349	116349
167	58723	116049
168	59087	115728
169	59435	115373
170	59772	115000
171	60135	114676
172	60469	114298
173	60805	113922
174	61207	113670
175	61581	113365
176	61987	113117
177	62345	112782
178	62660	112367
179	62977	111959
180	63292	111547
181	63610	111143
182	63967	110806
183	64381	110568
184	64773	110289
185	65127	109945
186	65478	109598
187	65774	109157
188	66093	108757
189	66389	108319
190	66698	107905
191	67008	107492
192	67316	107079
193	67615	106651
194	67936	106259
195	68253	105862
196	68575	105474
197	68951	105168
198	69341	104882
199	69789	104683
200	70218	104453
201	70537	104059
202	70893	103721
203	71234	103359
204	71580	103006
205	71891	102601
206	72209	102209
